seed,alg,layer,err,n
13,ADAPT,4,0.20551097656840067,4
13,ADAPT,5,2.8347139952700218e-5,4
13,ADAPT,6,2.14188401246318e-5,4
13,ADAPT,7,4.260533057909299e-6,4
13,ADAPT,8,4.191646753692879e-6,4
13,ADAPT,9,2.727718495521003e-7,4
13,ADAPT,10,2.139188604033393e-8,4
13,ADAPT,11,2.6145730025461944e-9,4
13,ADAPT,12,3.178612928422808e-11,4
13,ADAPT,13,1.6429524407612917e-11,4
13,ADAPT,14,1.2536638394067268e-11,4
13,ADAPT,15,1.0041301123919766e-11,4
13,ADAPT,16,1.0042189302339466e-11,4
13,ADAPT,17,1.0027534358414414e-11,4
13,ADAPT,18,1.0014211682118912e-11,4
13,ADAPT,19,9.99955673819386e-12,4
13,ADAPT,20,9.985789972688508e-12,4
13,ADAPT,21,9.970690939553606e-12,4
13,ADAPT,22,9.955147817208854e-12,4
13,QAOA,2,0.41766871356905044,4
13,QAOA,4,0.31462955517068614,4
13,QAOA,6,0.05638772454354335,4
13,QAOA,8,0.047771708638078,4
13,QAOA,10,0.022999256356766917,4
13,QAOA,12,0.0026009393973560613,4
13,QAOA,14,0.0013138341343870152,4
13,QAOA,16,2.0423733460006588e-6,4
13,QAOA,18,1.0e-15,4
14,ADAPT,2,0.7431565743909343,4
14,ADAPT,3,0.3532933999568977,4
14,ADAPT,4,0.11128178761309715,4
14,ADAPT,5,0.11127302036535691,4
14,ADAPT,6,0.11126564765140756,4
14,ADAPT,7,3.7639183794180298e-6,4
14,ADAPT,8,2.467643285264387e-7,4
14,ADAPT,9,4.122254759764132e-9,4
14,ADAPT,10,8.620597569120036e-10,4
14,ADAPT,11,1.9661339223375762e-10,4
14,ADAPT,12,4.122657770722071e-11,4
14,ADAPT,13,5.899725152858082e-13,4
14,ADAPT,14,1.389999226830696e-13,4
14,ADAPT,15,4.418687638008123e-14,4
14,ADAPT,16,2.708944180085382e-14,4
14,ADAPT,17,2.864375403532904e-14,4
14,ADAPT,18,3.6415315207705135e-14,4
14,ADAPT,19,3.952393967665557e-14,4
14,ADAPT,20,4.1744385725905886e-14,4
14,ADAPT,21,4.6629367034256575e-14,4
